Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
5,1716235195427,20/05/2024 19:59:55,1716235194519,3,20/05/2024 22:59:54,142922,38,questionnaire-4l7k,,37755728,BLIND,11121565,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x551,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,13013
1,1716265301032,21/05/2024 04:21:41,1716265302294,3,21/05/2024 07:21:42,142922,38,questionnaire-4l7k,,37759099,BLIND,11123037,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716265324530,21/05/2024 04:22:04,1716265325563,3,21/05/2024 07:22:05,142922,38,questionnaire-4l7k,,37759099,BLIND,11123037,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716265324687,21/05/2024 04:22:04,1716265325564,3,21/05/2024 07:22:05,142922,38,questionnaire-4l7k,,37759099,BLIND,11123037,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716265324687,21/05/2024 04:22:04,1716265325564,3,21/05/2024 07:22:05,142922,38,questionnaire-4l7k,,37759099,BLIND,11123037,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716265324687,21/05/2024 04:22:04,1716265325564,3,21/05/2024 07:22:05,142922,38,questionnaire-4l7k,,37759099,BLIND,11123037,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x641,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,23270
1,1716267901160,21/05/2024 05:05:01,1716267900622,3,21/05/2024 08:05:00,142922,38,questionnaire-4l7k,,37759346,BLIND,11123100,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x593,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716267908676,21/05/2024 05:05:08,1716267908182,3,21/05/2024 08:05:08,142922,38,questionnaire-4l7k,,37759346,BLIND,11123100,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x593,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716267908811,21/05/2024 05:05:08,1716267908182,3,21/05/2024 08:05:08,142922,38,questionnaire-4l7k,,37759346,BLIND,11123100,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x593,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716267908811,21/05/2024 05:05:08,1716267908182,3,21/05/2024 08:05:08,142922,38,questionnaire-4l7k,,37759346,BLIND,11123100,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x593,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716267908811,21/05/2024 05:05:08,1716267908183,3,21/05/2024 08:05:08,142922,38,questionnaire-4l7k,,37759346,BLIND,11123100,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x593,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,7561
